Jour,Mois,Produits,Montant CHF
2022-04-08T22:00Z,April,Cours privé Wing Foil 1 heure,90
2022-04-15T22:00Z,April,location Wing Foil 1 heure,45
2022-04-17T22:00Z,April,Camps Optimist ,495
2022-04-17T22:00Z,April,Camps Optimist ,495
2022-04-17T22:00Z,April,Camps Optimist ,495
2022-04-17T22:00Z,April,Camps Optimist ,495
2022-04-17T22:00Z,April,Camps Optimist ,495
2022-04-17T22:00Z,April,Camps Optimist ,495
2022-04-17T22:00Z,April,Camps Optimist ,495
2022-04-17T22:00Z,April,Camps Catamaran,495
2022-04-17T22:00Z,April,Voile légère,275
2022-04-17T22:00Z,April,Voile légère,275
2022-04-17T22:00Z,April,Voile légère,275
2022-04-17T22:00Z,April,Voile légère,275
2022-04-18T22:00Z,April,Camps Optimist ,495
2022-04-18T22:00Z,April,Camps Optimist ,495
2022-04-18T22:00Z,April,Camps Optimist ,495
2022-04-18T22:00Z,April,Camps Optimist ,495
2022-04-18T22:00Z,April,Camps Optimist ,495
2022-04-18T22:00Z,April,Camps Optimist ,495
2022-04-18T22:00Z,April,Camps Optimist ,495
2022-04-18T22:00Z,April,Camps Catamaran,495
2022-04-18T22:00Z,April,Voile légère,275
2022-04-18T22:00Z,April,Voile légère,275
2022-04-18T22:00Z,April,Voile légère,275
2022-04-18T22:00Z,April,Voile légère,275
2022-04-19T22:00Z,April,Camps Optimist ,495
2022-04-19T22:00Z,April,Camps Optimist ,495
2022-04-19T22:00Z,April,Camps Optimist ,495
2022-04-19T22:00Z,April,Camps Optimist ,495
2022-04-19T22:00Z,April,Camps Optimist ,495
2022-04-19T22:00Z,April,Camps Optimist ,495
2022-04-19T22:00Z,April,Camps Optimist ,495
2022-04-19T22:00Z,April,Camps Catamaran,495
2022-04-19T22:00Z,April,Voile légère,275
2022-04-19T22:00Z,April,Voile légère,275
2022-04-19T22:00Z,April,Voile légère,275
2022-04-19T22:00Z,April,Voile légère,275
2022-04-20T22:00Z,April,Camps Optimist ,495
